Name:Sniffles, reproduction rate:0.5, mortality rate:0.12
step number:0, current population:996, number of new interactions:100
step number:0, current population:996, number of new infections:42
step number:0, current population:996, number of new deaths:4
step number:1, current population:988, number of new interactions:100
step number:1, current population:988, number of new infections:54
step number:1, current population:988, number of new deaths:8
step number:2, current population:983, number of new interactions:100
step number:2, current population:983, number of new infections:54
step number:2, current population:983, number of new deaths:5
step number:3, current population:980, number of new interactions:100
step number:3, current population:980, number of new infections:52
step number:3, current population:980, number of new deaths:3
step number:4, current population:975, number of new interactions:100
step number:4, current population:975, number of new infections:52
step number:4, current population:975, number of new deaths:5
step number:5, current population:970, number of new interactions:100
step number:5, current population:970, number of new infections:50
step number:5, current population:970, number of new deaths:5
step number:6, current population:962, number of new interactions:100
step number:6, current population:962, number of new infections:48
step number:6, current population:962, number of new deaths:8
step number:7, current population:956, number of new interactions:100
step number:7, current population:956, number of new infections:49
step number:7, current population:956, number of new deaths:6
step number:8, current population:947, number of new interactions:100
step number:8, current population:947, number of new infections:46
step number:8, current population:947, number of new deaths:9
step number:9, current population:942, number of new interactions:100
step number:9, current population:942, number of new infections:54
step number:9, current population:942, number of new deaths:5
step number:10, current population:935, number of new interactions:100
step number:10, current population:935, number of new infections:50
step number:10, current population:935, number of new deaths:7
step number:11, current population:929, number of new interactions:100
step number:11, current population:929, number of new infections:48
step number:11, current population:929, number of new deaths:6
step number:12, current population:924, number of new interactions:100
step number:12, current population:924, number of new infections:48
step number:12, current population:924, number of new deaths:5
step number:13, current population:915, number of new interactions:100
step number:13, current population:915, number of new infections:47
step number:13, current population:915, number of new deaths:9
step number:14, current population:914, number of new interactions:100
step number:14, current population:914, number of new infections:53
step number:14, current population:914, number of new deaths:1
step number:15, current population:909, number of new interactions:100
step number:15, current population:909, number of new infections:42
step number:15, current population:909, number of new deaths:5
step number:16, current population:901, number of new interactions:100
step number:16, current population:901, number of new infections:45
step number:16, current population:901, number of new deaths:8
step number:17, current population:893, number of new interactions:100
step number:17, current population:893, number of new infections:51
step number:17, current population:893, number of new deaths:8
step number:18, current population:888, number of new interactions:100
step number:18, current population:888, number of new infections:54
step number:18, current population:888, number of new deaths:5
step number:19, current population:886, number of new interactions:100
step number:19, current population:886, number of new infections:51
step number:19, current population:886, number of new deaths:2
step number:21 Everyone Survived YAY!
