population:10000 initial infections:5
Name:cucomunga, reproduction rate:0.05, mortality rate:0.95

step number:1, current population:9999, number of new interactions:100
step number:1, current population:9999, number of new infections:5
step number:1, current population:9999, number of new deaths:1
step number:2, current population:9998, number of new interactions:100
step number:2, current population:9998, number of new infections:8
step number:2, current population:9998, number of new deaths:2
step number:3, current population:9997, number of new interactions:100
step number:3, current population:9997, number of new infections:1
step number:3, current population:9997, number of new deaths:3
step number:4, current population:9996, number of new interactions:100
step number:4, current population:9996, number of new infections:3
step number:4, current population:9996, number of new deaths:4
step number:5, current population:9995, number of new interactions:100
step number:5, current population:9995, number of new infections:3
step number:5, current population:9995, number of new deaths:5
step number:6, current population:9994, number of new interactions:100
step number:6, current population:9994, number of new infections:8
step number:6, current population:9994, number of new deaths:6
step number:7, current population:9993, number of new interactions:100
step number:7, current population:9993, number of new infections:3
step number:7, current population:9993, number of new deaths:7
step number:8, current population:9992, number of new interactions:100
step number:8, current population:9992, number of new infections:3
step number:8, current population:9992, number of new deaths:8
step number:9, current population:9991, number of new interactions:100
step number:9, current population:9991, number of new infections:6
step number:9, current population:9991, number of new deaths:9
step number:10, current population:9990, number of new interactions:100
step number:10, current population:9990, number of new infections:9
step number:10, current population:9990, number of new deaths:10
step number:11, current population:9990, number of new interactions:100
step number:11, current population:9990, number of new infections:2
step number:11, current population:9990, number of new deaths:10
step number:12, current population:9989, number of new interactions:100
step number:12, current population:9989, number of new infections:10
step number:12, current population:9989, number of new deaths:11
step number:13, current population:9988, number of new interactions:100
step number:13, current population:9988, number of new infections:5
step number:13, current population:9988, number of new deaths:12
step number:14, current population:9987, number of new interactions:100
step number:14, current population:9987, number of new infections:6
step number:14, current population:9987, number of new deaths:13
step number:15, current population:9986, number of new interactions:100
step number:15, current population:9986, number of new infections:5
step number:15, current population:9986, number of new deaths:14
step number:16, current population:9985, number of new interactions:100
step number:16, current population:9985, number of new infections:6
step number:16, current population:9985, number of new deaths:15
step number:17, current population:9984, number of new interactions:100
step number:17, current population:9984, number of new infections:7
step number:17, current population:9984, number of new deaths:16
step number:18, current population:9983, number of new interactions:100
step number:18, current population:9983, number of new infections:3
step number:18, current population:9983, number of new deaths:17
step number:19, current population:9982, number of new interactions:100
step number:19, current population:9982, number of new infections:3
step number:19, current population:9982, number of new deaths:18
step number:20, current population:9981, number of new interactions:100
step number:20, current population:9981, number of new infections:1
step number:20, current population:9981, number of new deaths:19
step number:21, current population:9980, number of new interactions:100
step number:21, current population:9980, number of new infections:3
step number:21, current population:9980, number of new deaths:20
step number:22, current population:9979, number of new interactions:100
step number:22, current population:9979, number of new infections:2
step number:22, current population:9979, number of new deaths:21
step number:23, current population:9978, number of new interactions:100
step number:23, current population:9978, number of new infections:10
step number:23, current population:9978, number of new deaths:22
step number:24, current population:9977, number of new interactions:100
step number:24, current population:9977, number of new infections:7
step number:24, current population:9977, number of new deaths:23
step number:25, current population:9976, number of new interactions:100
step number:25, current population:9976, number of new infections:4
step number:25, current population:9976, number of new deaths:24
step number:26, current population:9975, number of new interactions:100
step number:26, current population:9975, number of new infections:4
step number:26, current population:9975, number of new deaths:25
step number:27, current population:9974, number of new interactions:100
step number:27, current population:9974, number of new infections:10
step number:27, current population:9974, number of new deaths:26
step number:28, current population:9973, number of new interactions:100
step number:28, current population:9973, number of new infections:7
step number:28, current population:9973, number of new deaths:27
step number:29, current population:9972, number of new interactions:100
step number:29, current population:9972, number of new infections:3
step number:29, current population:9972, number of new deaths:28
step number:30, current population:9971, number of new interactions:100
step number:30, current population:9971, number of new infections:5
step number:30, current population:9971, number of new deaths:29
step number:31, current population:9971, number of new interactions:100
step number:31, current population:9971, number of new infections:2
step number:31, current population:9971, number of new deaths:29
step number:32, current population:9970, number of new interactions:100
step number:32, current population:9970, number of new infections:8
step number:32, current population:9970, number of new deaths:30
step number:33, current population:9970, number of new interactions:100
step number:33, current population:9970, number of new infections:6
step number:33, current population:9970, number of new deaths:30
step number:34, current population:9969, number of new interactions:100
step number:34, current population:9969, number of new infections:2
step number:34, current population:9969, number of new deaths:31
step number:35, current population:9968, number of new interactions:100
step number:35, current population:9968, number of new infections:4
step number:35, current population:9968, number of new deaths:32
step number:36, current population:9967, number of new interactions:100
step number:36, current population:9967, number of new infections:5
step number:36, current population:9967, number of new deaths:33
step number:37, current population:9966, number of new interactions:100
step number:37, current population:9966, number of new infections:1
step number:37, current population:9966, number of new deaths:34
step number:38, current population:9965, number of new interactions:100
step number:38, current population:9965, number of new infections:2
step number:38, current population:9965, number of new deaths:35
step number:39, current population:9964, number of new interactions:100
step number:39, current population:9964, number of new infections:2
step number:39, current population:9964, number of new deaths:36
step number:40, current population:9963, number of new interactions:100
step number:40, current population:9963, number of new infections:3
step number:40, current population:9963, number of new deaths:37
step number:41, current population:9962, number of new interactions:100
step number:41, current population:9962, number of new infections:4
step number:41, current population:9962, number of new deaths:38
step number:42, current population:9961, number of new interactions:100
step number:42, current population:9961, number of new infections:4
step number:42, current population:9961, number of new deaths:39
step number:43, current population:9960, number of new interactions:100
step number:43, current population:9960, number of new infections:3
step number:43, current population:9960, number of new deaths:40
step number:44, current population:9959, number of new interactions:100
step number:44, current population:9959, number of new infections:5
step number:44, current population:9959, number of new deaths:41
